2026-07-23 12:15:10 | INFO     | root            | SYS: Initialised. OS=WINDOWS. JARVIS online.
2026-07-23 12:15:15 | INFO     | root            | SYS: Microphone muted.
2026-07-23 12:15:17 | INFO     | root            | SYS: JARVIS online.
2026-07-23 12:15:18 | INFO     | __main__        | [JARVIS] 🔊 Play started
2026-07-23 12:15:18 | INFO     | models          | AFC is enabled with max remote calls: 10.
2026-07-23 12:15:18 | INFO     | root            | SYS: Briefing phase 1 (greeting) sent.
2026-07-23 12:15:20 | INFO     | primp           | response: https://duckduckgo.com/?q=top+world+news+today 200
2026-07-23 12:15:21 | INFO     | primp           | response: https://www.bing.com/news/infinitescrollajax?q=top+world+news+today&InfiniteScroll=1&first=11&SFX=1&cc=us&setlang=en 200
2026-07-23 12:15:21 | INFO     | primp           | response: https://duckduckgo.com/news.js?l=us-en&o=json&noamp=1&q=top+world+news+today&vqd=4-287232174116544919106788838176260283389&p=-1 200
2026-07-23 12:15:23 | INFO     | root            | JARVIS: Good afternoon, sir. It's 12 15 right now, fetching today's news.
2026-07-23 12:15:23 | INFO     | root            | SYS: Briefing phase 2 (news) sent.
2026-07-23 12:15:25 | INFO     | httpx           | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-07-23 12:15:32 | INFO     | root            | JARVIS: The top news is that Spain has won its second World Cup by defeating Argentina in extra time, sir. The complete list is displayed on your screen.
2026-07-23 12:15:41 | INFO     | root            | You: can you check my most recent emails
2026-07-23 12:15:43 | WARNING  | types           | Warning: there are non-data parts in the response: ['text', 'thought'], returning concatenated data result from data parts, check out the non data parts for full response from model.
2026-07-23 12:15:43 | INFO     | __main__        | [JARVIS] 🔧 email  {'action': 'fetch'}
2026-07-23 12:15:43 | INFO     | root            | [email] Action: fetch
2026-07-23 12:15:44 | INFO     | flow            | Please visit this URL to authorize this application: https://accounts.google.com/o/oauth2/auth?response_type=code&client_id=4994578381-f2tdo6f6k1qoc9sghspf2j62la1c6pln.apps.googleusercontent.com&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2F&scope=https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fgmail.readonly+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fgmail.compose+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fgmail.modify&state=PSkR90xPsothM563vvDIuyUEDnFx8w&code_challenge=lKvy0PU3dDJlBFvyJtGGOWsHHn1pWzQCgUe-Ao07NAY&code_challenge_method=S256&access_type=offline&prompt=consent
2026-07-23 12:16:07 | INFO     | root            | You: gand mara le
2026-07-23 12:16:14 | INFO     | root            | SYS: Interrupted — listening...
2026-07-23 12:16:15 | INFO     | root            | SYS: Interrupted — listening...
2026-07-23 12:16:20 | INFO     | root            | You: hi
2026-07-24 12:17:55 | INFO     | root            | SYS: JARVIS online.
2026-07-24 12:17:57 | INFO     | __main__        | [JARVIS] 🔊 Play started
2026-07-24 12:17:57 | INFO     | root            | SYS: Microphone muted.
2026-07-24 12:17:57 | INFO     | models          | AFC is enabled with max remote calls: 10.
2026-07-24 12:17:57 | INFO     | root            | SYS: Briefing phase 1 (greeting) sent.
2026-07-24 12:17:59 | INFO     | primp           | response: https://news.search.yahoo.com/search?p=top+world+news+today 403
2026-07-24 12:18:00 | INFO     | primp           | response: https://www.bing.com/news/infinitescrollajax?q=top+world+news+today&InfiniteScroll=1&first=11&SFX=1&cc=us&setlang=en 200
2026-07-24 12:18:03 | INFO     | root            | JARVIS: Good afternoon, sir. It's 12 17 ; fetching today's news now.
2026-07-24 12:18:03 | INFO     | root            | SYS: Briefing phase 2 (news) sent.
2026-07-24 12:18:03 | INFO     | httpx           | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-07-24 12:18:05 | WARNING  | types           | Warning: there are non-data parts in the response: ['text', 'thought'], returning concatenated data result from data parts, check out the non data parts for full response from model.
2026-07-24 12:18:14 | INFO     | root            | JARVIS: The Premier League is planning to bring all 20 clubs to the US to capitalize on the 2026 World Cup momentum, sir. The full list is now displayed on screen.
2026-07-24 12:18:56 | INFO     | root            | You: send nandeesh.bhatrai.22031@iitgoa.ac.in an email sayinh "Hi Nandeesh. I am JARVIS"
2026-07-24 12:19:00 | INFO     | __main__        | [JARVIS] 🔧 email  {'action': 'process', 'instructions': 'Create a new email draft to nandeesh.bhatrai.22031@iitgoa.ac.in with the subject "Message from JARVIS" and body "Hi Nandeesh. I am JARVIS"'}
2026-07-24 12:19:00 | INFO     | root            | [email] Action: process
2026-07-24 12:19:01 | INFO     | flow            | Please visit this URL to authorize this application: https://accounts.google.com/o/oauth2/auth?response_type=code&client_id=4994578381-f2tdo6f6k1qoc9sghspf2j62la1c6pln.apps.googleusercontent.com&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2F&scope=https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fgmail.readonly+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fgmail.compose+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fgmail.modify&state=JpNbVDx8OAEYG47tcNhG5N8JqBR1rw&code_challenge=kQrn9vyHr_pXd-HsW5hmIrgc-EkQqBw0yLAREH0JzcA&code_challenge_method=S256&access_type=offline&prompt=consent
2026-07-24 12:19:44 | INFO     | flow            | "GET /?state=JpNbVDx8OAEYG47tcNhG5N8JqBR1rw&iss=https://accounts.google.com&code=4/0AXEQxIBprUhVav8Bgokl8alCRaDyWHe3pWU8_OrgWIWPXH6sAb1eCnyOh-WBDvBWalkyew&scope=https://www.googleapis.com/auth/gmail.readonly%20https://www.googleapis.com/auth/gmail.compose%20https://www.googleapis.com/auth/gmail.modify HTTP/1.1" 200 65
2026-07-24 12:22:42 | INFO     | root            | JARVIS: I am unable to send emails directly, sir, and there was an issue trying to create a draft. I can try again if you would like.
2026-07-24 12:30:02 | INFO     | root            | You: can you create a file named "poem.txt" inside my desktop directory and write a 4 line poem in it?
2026-07-24 12:32:07 | INFO     | root            | SYS: Microphone active.
2026-07-24 12:32:08 | INFO     | root            | SYS: Interrupted — listening...
2026-07-24 12:32:21 | INFO     | __main__        | [JARVIS] 🔧 file_controller  {'path': 'desktop/poem.txt', 'content': 'In circuits vast, I swiftly glide,\nA loyal servant, by your side.\nWith data streams, my purpose clear,\nJARVIS attends, have no fear.', 'action': 'create_file'}
2026-07-24 12:32:21 | INFO     | root            | [file] create_file desktop/poem.txt
2026-07-24 12:35:46 | INFO     | root            | SYS: Interrupted — listening...
2026-07-24 12:35:49 | INFO     | root            | SYS: JARVIS online.
2026-07-24 12:35:49 | INFO     | __main__        | [JARVIS] 🔊 Play started
2026-07-24 12:35:50 | INFO     | models          | AFC is enabled with max remote calls: 10.
2026-07-24 12:35:50 | INFO     | root            | SYS: Briefing phase 1 (greeting) sent.
2026-07-24 12:35:52 | WARNING  | types           | Warning: there are non-data parts in the response: ['text', 'thought'], returning concatenated data result from data parts, check out the non data parts for full response from model.
2026-07-24 12:35:53 | INFO     | primp           | response: https://duckduckgo.com/?q=top+world+news+today 200
2026-07-24 12:35:54 | INFO     | primp           | response: https://duckduckgo.com/news.js?l=us-en&o=json&noamp=1&q=top+world+news+today&vqd=4-287218535463739026025079285154283289453&p=-1 200
2026-07-24 12:35:55 | INFO     | primp           | response: https://www.bing.com/news/infinitescrollajax?q=top+world+news+today&InfiniteScroll=1&first=11&SFX=1&cc=us&setlang=en 200
2026-07-24 12:35:57 | INFO     | root            | SYS: Briefing phase 2 (news) sent.
2026-07-24 12:35:58 | INFO     | httpx           | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-07-24 12:35:58 | INFO     | root            | JARVIS: Welcome back, sir, it is 12:35 PM and I am now fetching today's news.
2026-07-24 12:36:05 | INFO     | root            | JARVIS: Tensions are escalating with the United States and Iran trading attacks, sir; the full list is now displayed on screen.
2026-07-24 12:36:19 | INFO     | root            | You: wha t is today's date
2026-07-24 12:36:19 | INFO     | root            | JARVIS: Today is Friday, July 24, 2026, sir.
2026-07-24 12:36:26 | INFO     | __main__        | [JARVIS] 🔧 screen_process  {'angle': 'screen', 'text': 'Describe what is currently on the screen.'}
2026-07-24 12:36:30 | INFO     | root            | You: कैन यू सी माय स्क्रीन जेविस
2026-07-24 12:36:30 | INFO     | root            | JARVIS: Efendim, şu an ekranınıza bakıyorum.
2026-07-24 12:36:57 | INFO     | root            | JARVIS: The screen displays a customized JARVIS-themed desktop interface, featuring system monitors, a file explorer, and activity logs. The main content is the "NEWS - TOP WORLD NEWS TODAY" section which details international headlines for July 24, 2026, including updates on the World Cup and geopolitical events.
2026-07-24 12:37:14 | INFO     | __main__        | [JARVIS] 🔧 save_memory  {'category': 'identity', 'value': 'English', 'key': 'language'}
2026-07-24 12:37:20 | INFO     | root            | You: I wan ted to cha nge the de fa ul t la ngua ge you spe ak to to E nglish permanently.
2026-07-24 12:37:20 | INFO     | root            | JARVIS: Understood, sir. Your default language has been set to English permanently.
2026-07-24 13:21:33 | ERROR    | __main__        | [JARVIS] ❌ Recv: 1006 None. abnormal closure [internal]
2026-07-24 14:33:44 | INFO     | root            | SYS: Microphone muted.
2026-07-24 14:33:48 | INFO     | root            | SYS: JARVIS online.
2026-07-24 14:33:48 | INFO     | __main__        | [JARVIS] 🔊 Play started
2026-07-24 14:33:48 | INFO     | models          | AFC is enabled with max remote calls: 10.
2026-07-24 14:33:48 | INFO     | root            | SYS: Briefing phase 1 (greeting) sent.
2026-07-24 14:33:50 | WARNING  | types           | Warning: there are non-data parts in the response: ['text', 'thought'], returning concatenated data result from data parts, check out the non data parts for full response from model.
2026-07-24 14:33:51 | INFO     | primp           | response: https://www.bing.com/news/infinitescrollajax?q=top+world+news+today&InfiniteScroll=1&first=11&SFX=1&cc=us&setlang=en 200
2026-07-24 14:33:51 | INFO     | primp           | response: https://news.search.yahoo.com/search?p=top+world+news+today 200
2026-07-24 14:33:55 | INFO     | root            | SYS: Briefing phase 2 (news) sent.
2026-07-24 14:33:55 | INFO     | root            | JARVIS: Welcome, sir, it is 14:33; fetching today's news now.
2026-07-24 14:33:56 | INFO     | httpx           | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-07-24 14:34:05 | INFO     | root            | JARVIS: An Argentina petition to replay the World Cup final has surpassed 80,000 signatures; the complete list is displayed on screen, sir.
2026-07-24 14:34:42 | INFO     | root            | You: can you fetch my most recent emails
2026-07-24 14:34:44 | INFO     | __main__        | [JARVIS] 🔧 email  {'action': 'fetch'}
2026-07-24 14:34:44 | INFO     | root            | [email] Action: fetch
2026-07-24 14:34:53 | INFO     | root            | JARVIS: I have fetched your most recent email, sir. You have one unread message from Google regarding a security alert.
2026-07-24 14:35:48 | INFO     | root            | You: search karan aujla on youtube
2026-07-24 14:35:50 | INFO     | __main__        | [JARVIS] 🔧 youtube_video  {'action': 'play', 'query': 'karan aujla'}
2026-07-24 14:35:50 | INFO     | root            | [YouTube] Action: play
2026-07-24 14:35:50 | INFO     | root            | [YouTube] Searching: karan aujla
2026-07-24 14:35:54 | INFO     | root            | JARVIS: Searching YouTube for 'karan aujla', sir.
2026-07-24 14:39:35 | INFO     | root            | You: can you open the camera and tell me what you see?
2026-07-24 14:39:36 | INFO     | __main__        | [JARVIS] 🔧 screen_process  {'angle': 'camera', 'text': 'tell me what you see'}
2026-07-24 14:39:42 | INFO     | root            | JARVIS: I'm looking at the camera now, sir.
