2026-07-23 12:15:10 | INFO     | root            | SYS: Initialised. OS=WINDOWS. JARVIS online.
2026-07-23 12:15:15 | INFO     | root            | SYS: Microphone muted.
2026-07-23 12:15:17 | INFO     | root            | SYS: JARVIS online.
2026-07-23 12:15:18 | INFO     | __main__        | [JARVIS] 🔊 Play started
2026-07-23 12:15:18 | INFO     | models          | AFC is enabled with max remote calls: 10.
2026-07-23 12:15:18 | INFO     | root            | SYS: Briefing phase 1 (greeting) sent.
2026-07-23 12:15:20 | INFO     | primp           | response: https://duckduckgo.com/?q=top+world+news+today 200
2026-07-23 12:15:21 | INFO     | primp           | response: https://www.bing.com/news/infinitescrollajax?q=top+world+news+today&InfiniteScroll=1&first=11&SFX=1&cc=us&setlang=en 200
2026-07-23 12:15:21 | INFO     | primp           | response: https://duckduckgo.com/news.js?l=us-en&o=json&noamp=1&q=top+world+news+today&vqd=4-287232174116544919106788838176260283389&p=-1 200
2026-07-23 12:15:23 | INFO     | root            | JARVIS: Good afternoon, sir. It's 12 15 right now, fetching today's news.
2026-07-23 12:15:23 | INFO     | root            | SYS: Briefing phase 2 (news) sent.
2026-07-23 12:15:25 | INFO     | httpx           | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-07-23 12:15:32 | INFO     | root            | JARVIS: The top news is that Spain has won its second World Cup by defeating Argentina in extra time, sir. The complete list is displayed on your screen.
2026-07-23 12:15:41 | INFO     | root            | You: can you check my most recent emails
2026-07-23 12:15:43 | WARNING  | types           | Warning: there are non-data parts in the response: ['text', 'thought'], returning concatenated data result from data parts, check out the non data parts for full response from model.
2026-07-23 12:15:43 | INFO     | __main__        | [JARVIS] 🔧 email  {'action': 'fetch'}
2026-07-23 12:15:43 | INFO     | root            | [email] Action: fetch
2026-07-23 12:15:44 | INFO     | flow            | Please visit this URL to authorize this application: https://accounts.google.com/o/oauth2/auth?response_type=code&client_id=4994578381-f2tdo6f6k1qoc9sghspf2j62la1c6pln.apps.googleusercontent.com&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2F&scope=https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fgmail.readonly+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fgmail.compose+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fgmail.modify&state=PSkR90xPsothM563vvDIuyUEDnFx8w&code_challenge=lKvy0PU3dDJlBFvyJtGGOWsHHn1pWzQCgUe-Ao07NAY&code_challenge_method=S256&access_type=offline&prompt=consent
2026-07-23 12:16:07 | INFO     | root            | You: gand mara le
2026-07-23 12:16:14 | INFO     | root            | SYS: Interrupted — listening...
2026-07-23 12:16:15 | INFO     | root            | SYS: Interrupted — listening...
2026-07-23 12:16:20 | INFO     | root            | You: hi
